LSOA11CD,AverageTravelDistance,AccessibilityViaPublicTransport,OnlineGroceryAvailability
E01000263,18.394,11.91446653,8
E01000264,18.298,6.247184909,8
E01000265,17.493,4.697463294,8
E01000266,17.535,7.136380311,8
E01000267,18.546,12.41578693,8
E01000268,18.963,5.253639829,8
E01000269,18.765,6.528813637,8
E01000270,18.79,9.202704193,8
E01000271,18.442,7.356975561,8
E01000272,18.133,10.33108556,8
E01000273,18.0,5.670282274,8
E01000274,17.713,3.669236512,8
E01000275,17.588,10.30308885,8
E01000276,17.569,8.761466621,8
E01000277,17.435,8.994132722,8
E01000278,17.364,5.393987358,8
E01000279,18.37,17.49641543,8
E01000280,18.136,13.52557729,8
E01000281,17.836,5.099313789,8
E01000282,17.921,9.489933132,8
E01000283,17.839,14.80917261,8
E01000284,17.691,6.930436824,8
E01000285,19.191,14.55679667,8
E01000286,19.433,12.52580226,8
E01000287,19.279,15.30719156,8
E01000288,18.867,7.507982434,8
E01000289,19.091,13.01542007,8
E01000290,19.389,15.47379869,8
E01000291,19.131,15.07626728,8
E01000292,19.333,9.68366712,8
E01000293,19.255,7.090040195,8
E01000294,19.471,7.927814131,8
E01000295,16.734,4.899228393,8
E01000296,16.89,6.714887276,8
E01000297,16.55,9.11014725,8
E01000298,16.837,6.300793628,8
E01000299,17.162,2.490130095,8
E01000300,17.256,5.994083523,8
E01000301,17.152,7.650153519,8
E01000302,17.051,5.267621814,8
E01000303,17.081,9.456621507,8
E01000304,17.006,9.214088493,8
E01000305,16.452,3.716073469,8
E01000306,16.351,5.36843447,8
E01000307,16.335,3.779871281,8
E01000308,16.6,5.14731841,8
E01000309,16.569,5.506750506,8
E01000310,16.254,5.979787062,8
E01000311,16.201,12.76798916,8
E01000312,16.794,9.563792015,8
E01000313,16.587,3.861408207,8
E01000314,16.394,3.290431925,8
E01000315,16.971,7.733648922,8
E01000316,16.691,4.977342212,8
E01000317,16.911,6.284888502,8
E01000318,16.913,6.147441713,8
E01000319,16.667,5.660945726,8
E01000320,17.403,8.256798547,8
E01000321,17.45,4.994564494,8
E01000322,17.2,6.675832422,8
E01000323,17.127,3.448064148,8
E01000324,17.026,6.064141831,8
E01000325,19.436,4.49787971,8
E01000326,19.783,7.59863367,8
E01000327,19.169,7.201118414,8
E01000328,19.605,8.18774758,8
E01000329,19.32,7.812641564,8
E01000330,19.142,7.280191217,8
E01000331,19.225,11.80721905,8
E01000332,18.318,6.441808236,8
E01000333,18.215,2.545496781,8
E01000334,18.056,7.74836961,8
E01000335,18.316,5.529060622,8
E01000336,18.144,6.523385531,8
E01000337,18.083,8.27858124,8
E01000338,18.206,5.413612516,8
E01000339,18.09,4.797952066,8
E01000340,17.74,9.89067409,8
E01000341,17.961,8.104968294,8
E01000342,17.997,6.580484917,8
E01000343,18.114,5.07620975,8
E01000344,18.035,4.668191351,8
E01000345,18.186,7.771084299,8
E01000346,18.441,7.020005837,8
E01000347,18.274,5.262587378,8
